update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,Games,Strat,return_mean,return_std,return_min,return_max
510,2611200,1618.2889276996505,1624,0.11837597750127316,0.264785594209341,0.0,0.9177343845367432,1.9436691522598266,0.0029602003487525508,0.00017920920581673271,3.9487977119279094e-05,0.0019219207,0,0.0,0.11837597750127316,0.264785594209341,0.0,0.9177343845367432
511,2616320,1615.5647651180398,1627,0.14564355574548243,0.2878409059319328,0.0,0.9177343845367432,1.9349589586257934,0.01163532566279173,-0.0027383197149902115,0.0002688988402951509,0.0036210467,6,0.0,0.14564355574548243,0.2878409059319328,0.0,0.9177343845367432
512,2621440,1624.6170568765551,1631,0.14564355574548243,0.2878409059319328,0.0,0.9177343845367432,1.940230816602707,0.010191362432669849,-0.0006224149947229307,0.0001946809217770351,0.0037482944,2,0.0,0.14564355574548243,0.2878409059319328,0.0,0.9177343845367432
513,2626560,1638.901153245713,1634,0.16633203215897083,0.29268830717032546,0.0,0.9177343845367432,1.9362963020801545,0.020142534421756862,0.0010451549675053683,0.0002544340517488308,0.00388956,4,0.0,0.16633203215897083,0.29268830717032546,0.0,0.9177343845367432
514,2631680,1620.042884125277,1637,0.1878867197781801,0.3108304247364261,0.0,0.9177343845367432,1.9366205334663391,0.01384491049684584,-0.0003373488056240603,0.0003241474110836862,0.0052551115,2,0.0,0.1878867197781801,0.3108304247364261,0.0,0.9177343845367432
515,2636800,1626.669714754571,1640,0.19417089857161046,0.31802939502170097,0.0,0.9177343845367432,1.9412402868270875,0.0061293668230064215,-0.0009438154051167657,7.27606238797307e-05,0.0028331866,4,0.0,0.19417089857161046,0.31802939502170097,0.0,0.9177343845367432
516,2641920,1632.3248602802892,1643,0.20928320325911046,0.32277057626477507,0.0,0.9177343845367432,1.9368698835372924,0.010059737879782916,-0.001402190752196475,0.00020328777445683955,0.003641494,2,0.0,0.20928320325911046,0.32277057626477507,0.0,0.9177343845367432
517,2647040,1622.8587060816894,1646,0.2126972645521164,0.316290992067618,0.0,0.9177343845367432,1.9353370368480682,0.01799237625673413,0.0007989152712980285,0.0002646830601406691,0.0039139874,4,0.0,0.2126972645521164,0.316290992067618,0.0,0.9177343845367432
518,2652160,1584.5152158151982,1649,0.2126972645521164,0.316290992067618,0.0,0.9177343845367432,1.9413702666759491,0.010880292719230055,3.865872749884147e-05,0.00029233074965304693,0.0051117134,1,0.0,0.2126972645521164,0.316290992067618,0.0,0.9177343845367432
519,2657280,1648.6126391015512,1653,0.20264257714152337,0.302947777186732,0.0,0.9177343845367432,1.930372840166092,0.016494282707571983,0.002380620932672173,0.00014467919972958044,0.0031030823,3,0.0,0.20264257714152337,0.302947777186732,0.0,0.9177343845367432
520,2662400,1654.70083320504,1656,0.20402246043086053,0.3055461017231347,0.0,0.9177343845367432,1.9390605032444,0.009946302394382656,-0.0009832576895860256,0.00016071406098490116,0.0039619007,4,0.0,0.20402246043086053,0.3055461017231347,0.0,0.9177343845367432
521,2667520,1623.1917415608125,1659,0.23263867050409318,0.3173225333787825,0.0,0.9177343845367432,1.9284283816814423,0.017610220098868014,-0.0006139150136732496,0.0004939084559737239,0.004689711,4,0.0,0.23263867050409318,0.3173225333787825,0.0,0.9177343845367432
522,2672640,1634.4556437326883,1662,0.22440331876277925,0.30340501238559137,0.0,0.8621875047683716,1.9397693395614624,0.005829245096538216,-0.0008190484635633766,0.0002069804782877327,0.0027958942,2,0.0,0.22440331876277925,0.30340501238559137,0.0,0.8621875047683716
523,2677760,1633.8617306497372,1665,0.20367968566715716,0.3013828335633966,0.0,0.8621875047683716,1.9419820427894592,0.004475220933090896,0.0011410899285692721,2.025424491876038e-05,0.0013046064,3,0.0,0.20367968566715716,0.3013828335633966,0.0,0.8621875047683716
524,2682880,1618.3222207694682,1668,0.21805370934307575,0.3050149321383039,0.0,0.8621875047683716,1.9433674573898316,0.005368005123455077,-0.0008675605113239726,9.90403765854353e-05,0.0020667366,1,0.0,0.21805370934307575,0.3050149321383039,0.0,0.8621875047683716
